!CSV A.01.01
!Keysight Technologies,N5247A,US56070668,A.10.47.06
!Date: Tuesday, November 12, 2019 09:03:01
!Source: Standard

!CW Freq: 28000000000 Hz
BEGIN CH1_DATA
Time(s),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
0.79623887425641,-19.560534,-82.298897,-35.966671,-57.306133,-30.990427,54.836288,11.19347,50.115734
0.80071212635897,-19.559219,-82.284492,-36.588352,-60.494755,-30.937365,55.583603,10.94767,47.751938
0.80518537846154,-19.558151,-82.278587,-34.881268,-54.647259,-30.686579,57.135796,12.723905,52.673382
0.8096586305641,-19.555866,-82.28006,-37.496155,-44.188133,-31.34273,58.778458,9.4634838,62.138775
0.81413188266667,-19.554985,-82.267166,-34.167046,-44.97702,-30.757376,59.040047,12.511396,59.329311
0.81860513476923,-19.552307,-82.270981,-36.153461,-28.754612,-31.297876,61.445747,10.405508,77.194099
0.82307838687179,-19.549742,-82.28112,-36.290405,-47.979664,-30.988527,58.624054,10.616145,54.103935
0.82755163897436,-19.545244,-82.274269,-35.87669,-62.618114,-30.861385,56.931309,11.326824,41.272697
0.83202489107692,-19.541054,-82.277962,-36.368565,-57.259274,-31.143627,58.003716,10.352169,45.785431
0.83649814317949,-19.538433,-82.274582,-36.372959,-57.060062,-31.131645,58.765472,10.310791,47.373047
0.84097139528205,-19.537121,-82.293236,-36.493843,-83.541824,-30.740574,55.406487,11.448223,25.300104
0.84544464738462,-19.53529,-82.3013,-31.962149,-99.539978,-29.813169,50.952934,16.213907,7.7964988
0.84991789948718,-19.534702,-82.300514,-34.895218,-45.637489,-30.846348,63.167175,12.07406,62.22646
0.85439115158974,-19.534788,-82.299622,-33.70417,-68.398651,-30.402037,59.844921,13.353572,37.794121
0.85886440369231,-19.535067,-82.292328,-34.302357,-57.587784,-30.546677,60.473473,12.875033,48.570862
0.86333765579487,-19.53817,-82.296448,-38.700211,-45.172646,-31.546926,60.297192,7.3417783,61.096199
0.86781090789744,-19.537262,-82.286446,-37.085392,-54.403168,-31.093082,59.907295,10.124477,50.042183
0.87228416,-19.538931,-82.309547,-37.13213,-36.227665,-31.465361,62.4016,9.1384192,69.399635
0.87675741210256,-19.541012,-82.310806,-35.670181,-74.086456,-30.84033,57.233009,11.470578,31.053516
0.88123066420513,-19.543903,-82.292801,-36.681866,-49.10046,-31.274418,59.78046,9.5160303,54.361362
0.88570391630769,-19.54715,-82.281403,-37.679085,-59.571224,-31.163668,58.304661,9.4624949,42.263504
0.89017716841026,-19.550783,-82.273445,-36.222485,-55.679794,-30.923697,58.639858,10.658786,50.357246
0.89465042051282,-19.553984,-82.258125,-35.888309,-69.971588,-30.900499,57.037704,11.645417,38.367378
0.89912367261538,-19.556749,-82.229759,-37.125343,-39.702751,-31.446415,60.818115,9.2901354,71.324898
0.90359692471795,-19.557159,-82.2229,-35.640476,-39.788986,-31.169519,61.043251,11.214877,68.365761
0.90807017682051,-19.554338,-82.225555,-34.829945,-63.420521,-30.811256,57.543468,12.557535,46.269493
0.91254342892308,-19.552652,-82.226875,-28.068937,-94.40435,-28.682236,51.640709,19.801678,23.106672
0.91701668102564,-19.553146,-82.227493,-28.659821,-96.208153,-29.17975,51.090008,18.630222,20.412148
0.92148993312821,-19.556227,-82.179543,-23.759542,-51.571682,-27.426945,71.625473,23.67215,67.168259
0.92596318523077,-19.551693,-82.22641,-24.205854,-133.82611,-27.856014,32.713665,23.963617,-14.628781
0.93043643733333,-19.548794,-82.193802,-22.799171,-97.831207,-26.519344,48.999619,24.852165,21.704889
0.9349096894359,-19.550377,-82.266754,-23.35099,-167.67476,-28.748077,15.08574,24.895777,-48.815002
0.93938294153846,-19.552389,-82.260002,-31.544979,-123.90206,-30.139217,44.685524,16.293615,-7.5435572
0.94385619364103,-19.55127,-82.258766,-27.081369,-102.81469,-28.364967,49.043503,20.939278,16.017269
0.94832944574359,-19.551502,-82.245049,-28.40122,-84.698723,-29.051294,55.869186,19.12175,34.184994
0.95280269784615,-19.554392,-82.279236,-35.926697,-30.767,-31.470798,61.879536,10.510676,82.92627
0.95727594994872,-19.554932,-82.289413,-37.165909,-45.549667,-31.198204,59.052853,9.8388281,64.817093
0.96174920205128,-19.554888,-82.289146,-37.439362,-46.710724,-31.385176,57.886169,8.9923649,56.755138
0.96622245415385,-19.556561,-82.287781,-35.778603,-51.05814,-31.012812,59.228203,11.23074,55.434486
0.97069570625641,-19.558908,-82.27813,-36.043194,-49.768108,-31.134045,59.406616,10.486367,57.614223
